,name,address
100,HeadFlyer Brewing,"861 E Hennepin Ave. Minneapolis, MN 55414"
101,High Pines Brewing Company,"2704 Snelling Avenue Roseville, MN 55113"
102,Hoops Brewing,"325 South Lake Avenue Duluth, Minnesota 55802"
103,Hop and Barrel Brewing,"310 2nd St Hudson, WI 54016"
104,Hoppy Girl Brewing,"136 Bridge Avenue Wabasha, MN 55981"
105,Imminent Brewing,"519 Division St S, Unit 2 Northfield, Minnesota 55057"
106,Inbound BrewCo,"701 N 5th St Minneapolis, MN 55401"
107,Indeed Brewing Company,"711 NE 15th Ave Minneapolis, MN 55413"
108,Ineffable Brewing Co.,"1905 CR-42 E, Unit 100 Burnsville, MN 55306"
109,Insight Brewing Company,"2821 E Hennepin Ave Minneapolis, MN 55413"
110,Inver Grove Brewing Co.,"9051 Buchanan Trail Inver Grove Heights, MN 55076"
111,Invictus Brewing Co.,"2025 105th Ave NE Blaine, Minnesota 55449"
112,Iron Exchange Tavern & Brewery,"1500 Howard Ave Maple Plain, MN 55359"
113,Island City Brewing Company,"65 East Front Street Winona, MN 55987"
114,Jack Pine Brewery,"15593 Edgewood Drive N Baxter, MN 56425"
115,Joseph Wolf Brewing Co.,"222 Commercial St #2 Stillwater, MN 55082"
116,Junkyard Brewing Co.,"1416 1st Ave N Moorhead, MN 56560"
117,Karst Brewing,"315 1st Street Fountain, MN 55935"
118,Kinney Creek Brewery,"1016 7th St NW Rochester, MN 55901"
119,Klockow Brewing Company,"36 SE 10th Street Grand Rapids, Minnesota 55744"
120,LTD Brewing Co.,"8 8th Ave N Hopkins, MN 55343"
121,LTS Brewing Company,"2001 32nd Ave NW Rochester, MN 55901"
122,La Doña Cervecería,"241 Fremont Ave N Minneapolis, MN 55405"
123,Lake Monster Brewing,"550 Vandalia St#160 St. Paul, MN 55114"
